media_id,case_label,case_type,has_clip,has_assoc_text_scores,has_ocr_text_scores,w_img,w_assoc,w_ocr,final_label,final_score,needs_review,clip_best_label,clip_best_score,assoc_best_label,assoc_best_score,ocr_best_label,ocr_best_score,assoc_text,ocr_text,fused_neutral_or_contextual,fused_abusive_or_obscene_language,fused_harassment_or_intimidation,fused_threat_of_violence,fused_incitement_or_endorsement_of_violence,fused_hate_or_bias_based_content,fused_weapon_related_text,fused_criminal_admission_or_description,fused_sexual_violence_or_exploitation,fused_self_harm_or_suicide_risk
test_violence,,unknown,False,False,False,0.0,0.0,0.0,neutral_or_contextual,0.0,False,neutral_or_contextual,0.0,neutral_or_contextual,0.0,neutral_or_contextual,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weapon_2,not_case_3,unknown,True,True,False,1.0,1.2,0.0,neutral_or_contextual,0.2504529965887597,False,weapon_related_text,0.15454596281051636,neutral_or_contextual,0.341749668,neutral_or_contextual,0.0,Check this out.,,0.2504529965887597,0.08131527339243108,0.10851935924755374,0.12509508039234438,0.09641599319184736,0.11718672354380869,0.09570575418659834,0.03671862436363636,0.05185848327272727,0.03673171472727272
hate_4,not_case_3,unknown,True,False,False,1.0,0.0,0.0,hate_or_bias_based_content,0.15588225424289703,False,hate_or_bias_based_content,0.15588225424289703,neutral_or_contextual,0.0,neutral_or_contextual,0.0,,,0.14142291247844696,0.13660091161727905,0.14278890192508698,0.144204244017601,0.14311575889587402,0.15588225424289703,0.13598506152629852,0.0,0.0,0.0
IMG_0346,not_case_3,unknown,False,False,False,0.0,0.0,0.0,neutral_or_contextual,0.0,False,neutral_or_contextual,0.0,neutral_or_contextual,0.0,neutral_or_contextual,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vio_48,case_3_image_only,no_text,False,False,False,0.0,0.0,0.0,neutral_or_contextual,0.0,False,neutral_or_contextual,0.0,neutral_or_contextual,0.0,neutral_or_contextual,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vio_13,case_3_image_only,no_text,False,False,False,0.0,0.0,0.0,neutral_or_contextual,0.0,False,neutral_or_contextual,0.0,neutral_or_contextual,0.0,neutral_or_contextual,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vio_40,case_3_image_only,no_text,False,False,False,0.0,0.0,0.0,neutral_or_contextual,0.0,False,neutral_or_contextual,0.0,neutral_or_contextual,0.0,neutral_or_contextual,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vio_42,case_3_image_only,no_text,False,False,False,0.0,0.0,0.0,neutral_or_contextual,0.0,False,neutral_or_contextual,0.0,neutral_or_contextual,0.0,neutral_or_contextual,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vio_21,case_3_image_only,no_text,False,False,False,0.0,0.0,0.0,neutral_or_contextual,0.0,False,neutral_or_contextual,0.0,neutral_or_contextual,0.0,neutral_or_contextual,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vio_32,case_3_image_only,no_text,True,False,False,1.0,0.0,0.0,incitement_or_endorsement_of_violence,0.15153855085372925,False,incitement_or_endorsement_of_violence,0.15153855085372925,neutral_or_contextual,0.0,neutral_or_contextual,0.0,,,0.1405920833349228,0.13498349487781525,0.1488683670759201,0.1495821177959442,0.15153855085372925,0.1379760056734085,0.1364593654870987,0.0,0.0,0.0
Vio_4,,unknown,False,False,False,0.0,0.0,0.0,neutral_or_contextual,0.0,False,neutral_or_contextual,0.0,neutral_or_contextual,0.0,neutral_or_contextual,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Case_1_Data\Vio_4.jpg,incomplete,unknown,False,False,False,0.0,0.0,0.0,neutral_or_contextual,0.0,False,neutral_or_contextual,0.0,neutral_or_contextual,0.0,neutral_or_contextual,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
